Degree Program,CGPA  Average,Internship Experience,Number of Projects Completed,Certifications Completed,Package Range,DSA / Syllabus Coverage,Aptitude/ Syllabus Coverage
CSE,6.0 – 6.9,Yes (paid),1–2,1–2,3 – 5 LPA,Basics only,Basics only
CSE(AIML),6.0 – 6.9,No,0,0,Prefer not to say,Not prepared,Not prepared
CSE,6.0 – 6.9,No,3–4,3–4,Prefer not to say,Basics only,Intermediate
CSE(AIML),6.0 – 6.9,Yes (unpaid),3–4,1–2,Prefer not to say,Not prepared,Not prepared
CSE,7.0 – 7.9,Yes (unpaid),1–2,5+,3 – 5 LPA,Advanced,Advanced
CSE,7.0 – 7.9,Yes (unpaid),3–4,1–2,8+ LPA,Advanced,Basics only
CSE,9.0+,Yes (unpaid),3–4,3–4,3 – 5 LPA,Advanced,Intermediate
CSE(AIML),8.0 – 8.9,Yes (unpaid),5+,5+,3 – 5 LPA,Intermediate,Intermediate
CSE(AIML),8.0 – 8.9,Yes (paid),5+,5+,3 – 5 LPA,Intermediate,Intermediate
CSE,8.0 – 8.9,Yes (paid),3–4,3–4,3 – 5 LPA,Advanced,Advanced
CSE,7.0 – 7.9,Yes (unpaid),1–2,3–4,5 – 8 LPA,Intermediate,Advanced
CSE,8.0 – 8.9,Yes (paid),5+,3–4,3 – 5 LPA,Advanced,Intermediate
Civil,7.0 – 7.9,No,0,1–2,3 – 5 LPA,Not prepared,Basics only
Civil,7.0 – 7.9,No,0,3–4,3 – 5 LPA,Not prepared,Basics only
Civil,6.0 – 6.9,No,0,1–2,3 – 5 LPA,Not prepared,Not prepared
CSE(AIML),7.0 – 7.9,No,3–4,3–4,Prefer not to say,Basics only,Basics only
CSE,6.0 – 6.9,Yes (paid),1–2,1–2,3 – 5 LPA,Basics only,Basics only
CSE(AIML),6.0 – 6.9,No,0,0,Prefer not to say,Not prepared,Not prepared
CSE,6.0 – 6.9,No,3–4,3–4,Prefer not to say,Basics only,Intermediate
CSE(AIML),6.0 – 6.9,Yes (unpaid),3–4,1–2,Prefer not to say,Not prepared,Not prepared
CSE,7.0 – 7.9,Yes (unpaid),1–2,5+,3 – 5 LPA,Advanced,Advanced
CSE,7.0 – 7.9,Yes (unpaid),3–4,1–2,8+ LPA,Advanced,Basics only
CSE,9.0+,Yes (unpaid),3–4,3–4,3 – 5 LPA,Advanced,Intermediate
CSE(AIML),8.0 – 8.9,Yes (unpaid),5+,5+,3 – 5 LPA,Intermediate,Intermediate
CSE(AIML),8.0 – 8.9,Yes (paid),5+,5+,3 – 5 LPA,Intermediate,Intermediate
CSE,8.0 – 8.9,Yes (paid),3–4,3–4,3 – 5 LPA,Advanced,Advanced
CSE,7.0 – 7.9,Yes (unpaid),1–2,3–4,5 – 8 LPA,Intermediate,Advanced
CSE,8.0 – 8.9,Yes (paid),5+,3–4,3 – 5 LPA,Advanced,Intermediate
Civil,7.0 – 7.9,No,0,1–2,3 – 5 LPA,Not prepared,Basics only
Civil,7.0 – 7.9,No,0,3–4,3 – 5 LPA,Not prepared,Basics only
Civil,6.0 – 6.9,No,0,1–2,3 – 5 LPA,Not prepared,Not prepared
CSE(AIML),7.0 – 7.9,No,3–4,3–4,Prefer not to say,Basics only,Basics only
